Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	RefSeq peptide ID
ENSMUSG00000041654	ENSMUSG00000041654.16	ENSMUST00000071539	ENSMUST00000071539.10	NP_081492
ENSMUSG00000041654	ENSMUSG00000041654.16	ENSMUST00000071539	ENSMUST00000071539.10	NP_001349870
ENSMUSG00000041654	ENSMUSG00000041654.16	ENSMUST00000042657	ENSMUST00000042657.16	NP_001349867
ENSMUSG00000041654	ENSMUSG00000041654.16	ENSMUST00000106633	ENSMUST00000106633.10	NP_001159975
ENSMUSG00000041654	ENSMUSG00000041654.16	ENSMUST00000106633	ENSMUST00000106633.10	NP_001349869
ENSMUSG00000041654	ENSMUSG00000041654.16	ENSMUST00000106633	ENSMUST00000106633.10	NP_001349868
ENSMUSG00000041654	ENSMUSG00000041654.16	ENSMUST00000106633	ENSMUST00000106633.10	NP_001349873
ENSMUSG00000041654	ENSMUSG00000041654.16	ENSMUST00000106633	ENSMUST00000106633.10	NP_001349871
ENSMUSG00000041654	ENSMUSG00000041654.16	ENSMUST00000106633	ENSMUST00000106633.10	NP_001349872
ENSMUSG00000041654	ENSMUSG00000041654.16	ENSMUST00000106633	ENSMUST00000106633.10	NP_001349866
ENSMUSG00000018661	ENSMUSG00000018661.18	ENSMUST00000018805	ENSMUST00000018805.15	NP_038609
ENSMUSG00000034706	ENSMUSG00000034706.17	ENSMUST00000069325	ENSMUST00000069325.14	NP_001030050
ENSMUSG00000010021	ENSMUSG00000010021.14	ENSMUST00000084368	ENSMUST00000084368.12	NP_001096085
ENSMUSG00000000202	ENSMUSG00000000202.10	ENSMUST00000000206	ENSMUST00000000206.4	NP_082331
ENSMUSG00000051043	ENSMUSG00000051043.17	ENSMUST00000053361	ENSMUST00000053361.12	NP_001103807
ENSMUSG00000051043	ENSMUSG00000051043.17	ENSMUST00000021071	ENSMUST00000021071.14	NP_671750
ENSMUSG00000051043	ENSMUSG00000051043.17	ENSMUST00000177952	ENSMUST00000177952.8	NP_001103808
ENSMUSG00000047798	ENSMUSG00000047798.16	ENSMUST00000106561	ENSMUST00000106561.8	NP_001162624
ENSMUSG00000047798	ENSMUSG00000047798.16	ENSMUST00000051264	ENSMUST00000051264.14	NP_663609
ENSMUSG00000047798	ENSMUSG00000047798.16	ENSMUST00000106562	ENSMUST00000106562.3	NP_001334577
